,Entities,Labels,Position_Start,Position_End
245,acute renal failure acute coronary syndrome,DISEASE,3824,3867
246,pulmonary embolism cerebrovascular disease,DISEASE,3868,3910
248,covid obesity,DISEASE,4067,4080
249,platelet count coagulation,DISEASE,4091,4117
253,fibrinogen,DISEASE,4218,4228
254,diabetes,DISEASE,4907,4915
256,chronic obstructive pulmonary disease copd chronic renal failure,DISEASE,4937,5001
258,diabetes mellitus,DISEASE,5555,5572
259,cardiovascular disease copd chronic obstructive pulmonary disease crf,DISEASE,5577,5646
260,renal failure number,DISEASE,5655,5675
262,dementia,DISEASE,6824,6832
264,hypoxia,DISEASE,7018,7025
274,hospitalization fre quently patient covid finding consistent literature regard hospitalization higher patient obesity,DISEASE,7687,7804
280,lung injury,DISEASE,8079,8090
286,nimv,DISEASE,8609,8613
288,cardiovascular disease hypertension diabetes mellitus,DISEASE,8831,8884
289,hypertension obesity,DISEASE,8974,8994
290,zhou,DISEASE,9001,9005
292,comorbidity,DISEASE,9035,9046
293,diabetes coronary heart disease,DISEASE,9070,9101
294,covid complication,DISEASE,9172,9190
295,hypertension cardiovascular disease,DISEASE,9241,9276
303,malignancy copd,DISEASE,9938,9953
305,infectious disease,DISEASE,10108,10126
310,pulmonary disease,DISEASE,10517,10534
317,coronavirus infection,DISEASE,875,896
324,organ dysfunction,DISEASE,1232,1249
328,lung disease,DISEASE,2252,2264
331,obstructive sleep apnea,DISEASE,2340,2363
332,cardiac disease,DISEASE,2364,2379
333,artery disease heart failure hypertension chronic kidney disease diabetes mellitus,DISEASE,2389,2471
334,malignancy fortyseven,DISEASE,2489,2510
339,acute hypoxic respiratory failure,DISEASE,3732,3765
342,communityacquired hospitalacquired pneumonia,DISEASE,4604,4648
344,covid fiftyfive,DISEASE,4936,4951
349,initiation cpap hhfnc,DISEASE,6417,6438
350,hypoxemic respiratory failure,DISEASE,6742,6771
352,covid disease,DISEASE,0,13
354,respiratory infection,DISEASE,385,406
355,impaired functional status,DISEASE,772,798
356,inflammation,DISEASE,905,917
357,hyporexia dyspnea,DISEASE,955,972
358,weight hiporexia,DISEASE,1281,1297
359,malnutrition,DISEASE,1388,1400
362,respiratory disease nonrespiratory disease,DISEASE,3719,3761
363,infection organ failure death,DISEASE,4205,4234
364,ulcer,DISEASE,4244,4249
367,cognitive impairment,DISEASE,5738,5758
369,presenting lower number nosocomial,DISEASE,6324,6358
372,stricto,DISEASE,7275,7282
375,viral infection,DISEASE,8397,8412
376,status malnutrition,DISEASE,8659,8678
378,nonfatal,DISEASE,9408,9416
388,pandemic infectious disease,DISEASE,32,59
389,acute respiratory syndrome coronavirus,DISEASE,74,112
392,cough shortness breath,DISEASE,332,354
393,taste smell sore throat congestion runny nose nausea vomiting diarrhea,DISEASE,398,468
394,covid jazan saudi,DISEASE,1804,1821
395,covid infected,DISEASE,2631,2645
396,cardiovascular disease chronic kidney disease diabetes mellitus obesity,DISEASE,2887,2958
397,cough shortness,DISEASE,2997,3012
398,dyspnea loss taste smell anosmia chest pain sore throat congestion runny nose fatigue headache diarrhea vomiting,DISEASE,3023,3135
402,respiratory syndrome coronavirus manifestation clinical symptom disease,DISEASE,3628,3699
403,fever,DISEASE,3908,3913
407,illness,DISEASE,5448,5455
418,acute respiratory syndrome coronavirus sars cov infectious disease,DISEASE,65,131
419,pneumoniae multiorgan,DISEASE,223,244
420,andor failure,DISEASE,253,266
421,neurological thrombotic,DISEASE,291,314
424,tissue damage,DISEASE,627,640
426,heart damage myocarditis,DISEASE,838,862
428,hypertrophy,DISEASE,1571,1582
429,heart failure,DISEASE,1671,1684
430,acute decompensated hf finding correlation concentration alveolar wall thickness,DISEASE,1922,2002
431,noncardiogenic pulmonary edema,DISEASE,2028,2058
432,lung disease asthma chronic obstructive pulmonary disease copd,DISEASE,2088,2150
433,pulmonary damage,DISEASE,2214,2230
440,blood countbiochemistry coagulation arterial blood gas,DISEASE,2995,3049
449,bacteriemia,DISEASE,7321,7332
453,dyslipidemia,DISEASE,8767,8779
454,death respiratory failure,DISEASE,9349,9374
455,lung affectation,DISEASE,9565,9581
464,lung deterioration acute heart failure decompensation,DISEASE,10990,11043
472,ventilator dependency,DISEASE,12727,12748
474,covid increase,DISEASE,13105,13119
475,ilst,DISEASE,13770,13774
476,lung inflammation,DISEASE,13923,13940
479,asthma,DISEASE,14327,14333
480,asthma lung disease,DISEASE,14354,14373
483,pulmonary disorder,DISEASE,14758,14776
484,asthma idiopathic pulmonary fibrosis,DISEASE,14787,14823
485,sepsis trauma,DISEASE,14831,14844
486,cardiogenic edema,DISEASE,15043,15060
487,acute decompensated heart failure,DISEASE,15182,15215
489,kawasaki disease,DISEASE,15542,15558
491,cardiovascular comorbidity,DISEASE,15657,15683
492,heart comorbidity,DISEASE,16069,16086
493,hand heterogenous syndrome,DISEASE,16745,16771
495,lung cardiovascular disease,DISEASE,17295,17322
501,pulmonary embolism,DISEASE,22,40
502,myocardial infarction,DISEASE,49,70
503,pericarditis,DISEASE,81,93
504,myocarditis,DISEASE,104,115
505,ischemia,DISEASE,121,129
506,stroke,DISEASE,135,141
509,renal failure,DISEASE,220,233
510,ischemic heart disease,DISEASE,242,264
513,cardiovascular disease,DISEASE,632,654
523,ischemic stroke,DISEASE,1114,1129
525,cardiovascular injury,DISEASE,1176,1197
529,dyspnea fever asthenia cough chest pain diarrhea headache myalgia anosmia ageusia,DISEASE,1485,1566
532,acute lung injury,DISEASE,1725,1742
536,ventricular hypertrophy myocarditis,DISEASE,1913,1948
539,myocarditis death,DISEASE,2116,2133
540,troponinemia,DISEASE,2165,2177
541,deceased myocarditis,DISEASE,2199,2219
544,coagulation abnormality arrhythmia,DISEASE,2418,2452
545,rhythm disturbance suspicion,DISEASE,2502,2530
547,venous thromboembolism obesity active cancer cardiac respiratory insufficiency,DISEASE,2611,2689
548,dvt,DISEASE,2702,2705
551,thromboembolic,DISEASE,2801,2815
557,diabetes hypertension,DISEASE,3073,3094
558,heart disease,DISEASE,3104,3117
559,respiratory disease coronavirus disease,DISEASE,18,57
560,acute respiratory syndrome coronavirus sarscov present wide spectrum clinical manifestation,DISEASE,72,163
561,extrapulmonary tropism organ dysfunction gastrointestinal gi symptom recorded,DISEASE,175,252
562,systemic illness,DISEASE,291,307
563,virus directly damage gi mucosal surface addition increasing evidence suggesting vascular change distinctive feature covid systemic endothelial damage,DISEASE,977,1127
564,microvascular thrombosis,DISEASE,1152,1176
565,organ damage,DISEASE,1188,1200
566,pulmonary microvascular thromboinflammatory syndrome,DISEASE,1211,1263
567,ischaemic damage,DISEASE,1292,1308
569,injury gain,DISEASE,1477,1488
571,crf,DISEASE,2133,2136
572,bleeding,DISEASE,2667,2675
573,chronic disease oesophageal varix,DISEASE,2682,2715
574,cirrhosis,DISEASE,2724,2733
576,ischaemic aetiopathogenesis covid gastrointestinal,DISEASE,3712,3762
577,dagostinopearson,DISEASE,3970,3986
578,major abnormality,DISEASE,4118,4135
579,chronic abnormality,DISEASE,4150,4169
581,abdominal disease,DISEASE,5430,5447
582,acute pancreatitis cholecystitis,DISEASE,5451,5483
583,abdominal pain nausea diarrhoea vomiting anorexia,DISEASE,5529,5578
590,gastropathy,DISEASE,6113,6124
591,necrosis,DISEASE,6164,6172
593,abdominal pain,DISEASE,6335,6349
595,colonic damage,DISEASE,6673,6687
598,haematemesis,DISEASE,7221,7233
600,duodenal portion small ulcer,DISEASE,7423,7451
603,microthrombi,DISEASE,7550,7562
604,gastric ulcer,DISEASE,7623,7636
605,gastric adenocarcinoma erosive,DISEASE,7643,7673
608,inflammatory bowel disease ulcerative colitis,DISEASE,7856,7901
609,necrosis microhaemorrhages,DISEASE,7937,7963
610,microthrombi vascular congestion,DISEASE,7964,7996
611,ischaemic colitis,DISEASE,8008,8025
612,ischaemiclike damage,DISEASE,8110,8130
617,atrial fibrillation,DISEASE,8802,8821
619,diarrhoea,DISEASE,9202,9211
623,covid diabetes kidney failure,DISEASE,9909,9938
626,ulceration,DISEASE,10132,10142
627,colitis,DISEASE,10179,10186
628,respiratory illness,DISEASE,10996,11015
630,oesophageal bleeding erosion ulcer,DISEASE,11395,11429
634,consequent microvascular damage,DISEASE,12433,12464
636,ischaemia,DISEASE,12523,12532
637,endothelial injury thrombotic microangiopathy,DISEASE,12546,12591
640,coagulopathy,DISEASE,13096,13108
641,liver dysfunction virusinduced antiphospholipid,DISEASE,13275,13322
642,secondary microvascular impairment,DISEASE,13409,13443
643,covid active diarrhoea,DISEASE,13491,13513
644,intestinal inflammation,DISEASE,13525,13548
645,stool endothelitis submucosal vessel patient small instestine,DISEASE,13613,13674
648,mucosal damage ulcerative bleeding,DISEASE,14002,14036
649,petechialhaemorrhagic gastropathy,DISEASE,14103,14136
650,gastroduodenal ulcer,DISEASE,14145,14165
652,ischaemiclike colopathy acute bleeding,DISEASE,14245,14283
653,oedema congestion petechia aphthous erosion,DISEASE,14541,14584
656,abnormality ischaemiclike usually higher expert endoscopists typical finding distribution hypothesis histologically confirmed suspected case biopsy taken conversely despite ugi damage,DISEASE,14715,14898
657,druginduced damage,DISEASE,15150,15168
658,coagulative cascade,DISEASE,15532,15551
659,pneumatosis,DISEASE,15850,15861
662,hypoxaemia tachycardia,DISEASE,16561,16583
665,ischaemiclike injury,DISEASE,17046,17066
667,infection ischaemic gi tract injury,DISEASE,17443,17478
668,ischaemic phenomenon,DISEASE,17486,17506
669,endothelial injury,DISEASE,17615,17633
672,rectum fragile dystrophic mucosa,DISEASE,17800,17832
673,petechia,DISEASE,17841,17849
674,oedematous,DISEASE,17903,17913
675,lymphocytic granulomatous,DISEASE,17984,18009
676,covid gastrointestinal ischaemic injury,DISEASE,18043,18082
677,gastrointestinal damage,DISEASE,18276,18299
678,aggressive disease,DISEASE,18739,18757
679,gastrointestinal injury,DISEASE,19167,19190
684,lung cardiovascular disease diabetes immune suppression,DISEASE,343,398
685,esophagitis,DISEASE,451,462
686,gastrointestinal disease egids main disease,DISEASE,480,523
689,covid sarscov infection,DISEASE,1029,1052
690,egids distal esophagus single case report published clear understanding impact preexisting eoeegid covid,DISEASE,1065,1169
691,eoeegid disease,DISEASE,1203,1218
692,eoeegid,DISEASE,1428,1435
693,gastrointestinal disease,DISEASE,1549,1573
694,inflammatory bowel disease,DISEASE,1593,1619
695,allergy,DISEASE,1706,1713
697,white atopy,DISEASE,2538,2549
698,asthma active disease,DISEASE,2566,2587
701,gastroenteritis,DISEASE,3076,3091
702,eoeegid activity atopic,DISEASE,3332,3355
703,anxiety disorder attention deficit hyperactivity disorder celiac disease,DISEASE,3407,3479
708,anosmia,DISEASE,4159,4166
709,gastrointestinal complaint,DISEASE,4193,4219
714,myalgia,DISEASE,4732,4739
716,asthmatic overweight,DISEASE,4848,4868
718,low fever cough dyspnea diarrhea,DISEASE,4929,4961
719,pulmonary thromboembolism,DISEASE,4972,4997
722,cough dyspnea rhinorrhea diarrhea,DISEASE,5228,5261
725,covid chronic,DISEASE,6250,6263
728,rheumatic disease,DISEASE,6454,6471
733,liver disease,DISEASE,7436,7449
735,death disability,DISEASE,7990,8006
741,hypercytokinemia,DISEASE,444,460
746,thrombotic microangiopathy thrombocytopenic purpura,DISEASE,1127,1178
747,intravascular coagulation,DISEASE,1245,1270
749,kidney injury,DISEASE,2552,2565
750,andor falsification,DISEASE,3210,3229
754,tnfα,DISEASE,4845,4849
756,thrombosis,DISEASE,5096,5106
758,thrombosis heparin,DISEASE,5417,5435
759,hereditary hemolytic anemia,DISEASE,0,27
760,heterogeneous disorder,DISEASE,77,99
761,hemoglobinopathy hereditary spherocytosis glucosephosphate,DISEASE,154,212
764,viral hepatitis hepatitis c virus hcv infection,DISEASE,428,475
766,chronically infected million individual newly infected yearly egypt seroprevalence hcv adult child hcv prevalence multitransfused egyptian patient ranged,DISEASE,585,738
768,chronically infected case prevalence hbv surface antigen hbvsag,DISEASE,850,913
770,immune deficiency,DISEASE,1282,1299
773,hepatitis,DISEASE,1600,1609
774,hepatitis virus egypt aim current study update status blood born hepatitis virus hcv hbv cmv multitransfused egyptian child,DISEASE,1685,1808
780,thalassemia major thalassemia intermedia sickle thalassemia,DISEASE,5399,5458
782,splenomegaly,DISEASE,5722,5734
783,pallor jaundice,DISEASE,5934,5949
787,twentytwo,DISEASE,7182,7191
789,viral hepatitis hcv hbv,DISEASE,8013,8036
790,hemolytic anemia βthalassemia,DISEASE,8094,8123
791,hemolytic anemia,DISEASE,8185,8201
792,transfusiondependent hereditary hemolytic anemia,DISEASE,8433,8481
795,viral hepatitis,DISEASE,8810,8825
797,multitransfused hemolytic anemia,DISEASE,9387,9419
798,hepatic complication,DISEASE,9888,9908
800,hcv seroprevalence thalassemia,DISEASE,10042,10072
801,coworkers respectively hcv ab seroprevalence hbsag,DISEASE,10314,10364
803,thalassemia,DISEASE,10447,10458
804,hepatitis virus,DISEASE,10587,10602
805,longer disease,DISEASE,10746,10760
807,overload thalassemia,DISEASE,11148,11168
813,posttransfusion,DISEASE,12100,12115
816,hbv infection,DISEASE,12395,12408
818,coworkers cairoegypt hemophilia,DISEASE,12980,13011
819,blood born hepatitis virus,DISEASE,13306,13332
820,hcv multitransfused hemolytic anemia,DISEASE,13719,13755
822,primary mode disease,DISEASE,66,86
825,cardioverter defibrillator icd cardiac resynchronization,DISEASE,1339,1395
828,status congestion,DISEASE,7725,7742
830,pulmonary congestion,DISEASE,8255,8275
831,hematoma,DISEASE,8305,8313
833,cardiovascular disease diabetes mellitus hypertension chronic lung disease cancer chronic kidney disease,DISEASE,73,177
834,death respiratory failure sepsis,DISEASE,193,225
835,critically ill covid patient depends availability supportive intensive medical care rapid spread covid global pandemic,DISEASE,279,397
844,hypertension diabetes chronic kidney disease,DISEASE,2296,2340
847,shortness breath,DISEASE,2533,2549
863,hemoptysis dyspnea chest xray abnormality mental status change laboratory parameter,DISEASE,5954,6037
881,acute respiratory syndrome coronavirus sarscov novel betacoronavirus responsible,DISEASE,7,87
882,coronavirus disease virus emerged wuhan china december,DISEASE,88,142
883,inflammatory syndrome,DISEASE,347,368
885,multiorgan dysfunction,DISEASE,597,619
887,cardiorespiratory failure,DISEASE,643,668
888,pulmonary opacification,DISEASE,1964,1987
889,pulmonary opacity,DISEASE,2297,2314
891,chest,DISEASE,2759,2764
893,lung edema,DISEASE,3105,3115
894,opacity,DISEASE,3260,3267
897,hypoalbuminemia,DISEASE,4346,4361
900,pleural effusion pulmonary consolidation ground glass opacity,DISEASE,4807,4868
906,pulmonary edema,DISEASE,5189,5204
907,pleural effusion pulmonary opacification,DISEASE,5267,5307
908,edema,DISEASE,5317,5322
909,depressed myocardial function echocardiography cardiac injury myocarditis,DISEASE,5372,5445
910,heart failure cardiac decompensation,DISEASE,5483,5519
912,acute heart failure,DISEASE,5595,5614
915,myocardial dysfunction,DISEASE,5787,5809
916,volume overload,DISEASE,5852,5867
917,depressed myocardial function,DISEASE,5868,5897
922,chest radiograph airspace opacity,DISEASE,6801,6834
924,covid pulmonary opacity,DISEASE,7007,7030
928,adenopathy,DISEASE,7491,7501
929,gastrointestinal inflammation,DISEASE,7723,7752
930,lymphadenopathy,DISEASE,7845,7860
931,pleural effusion common patient misc patient covid,DISEASE,8035,8085
936,mesenteric edema star bowel wall thickening colon arrow b transverse ultrasound abdomen yearold girl,DISEASE,8632,8732
937,gallbladder wall thickening,DISEASE,8872,8899
941,acute respiratory syndrome coronavirus sarscov emerged pandemic affecting people world,DISEASE,46,132
943,cardiocerebrovascular disease diabetes respiratory disease cancer chronic kidney disease,DISEASE,740,828
944,lymphopenia,DISEASE,874,885
948,anemia,DISEASE,1043,1049
955,autoimmune hemolytic anemia,DISEASE,1477,1504
966,status anemia inflammation,DISEASE,2656,2682
978,admission decline ferritin level gl gl p transferrin level remained mgdl mgdl p b contrarily patient hyperinflammation,DISEASE,4890,5008
979,disease gl gl p significantly increased died hospital stay gl gl p c addition transferrin level similar course patient severe,DISEASE,5264,5389
984,admission decline ferritin level µgl µgl p transferrin level remained mgdl mgdl p b contrarily patient hyperinflammation,DISEASE,6732,6852
1013,gastrointestinal bleeding,DISEASE,12131,12156
1015,erythropoiesis impaired small,DISEASE,12185,12214
1016,erythropoiesis reduced erythropoietin formation increased circulating hepcidin level patient sarscov infection,DISEASE,12519,12629
1017,normocytic normochromic anemia,DISEASE,12640,12670
1030,inflammationrelated disease,DISEASE,13715,13742
1031,hyperinflammatory syndrome,DISEASE,13755,13781
1044,inflammationdriven disturbance,DISEASE,14814,14844
1072,macrocytic,DISEASE,16940,16950
1073,hypochromic mchc pg normochromic pg hyperchromic pg patient disease,DISEASE,16954,17021
1078,hyperinflammation,DISEASE,17346,17363
1083,bloodstream infection,DISEASE,104,125
1090,pancreatitis,DISEASE,1163,1175
1095,wilson wilson,DISEASE,2507,2520
1099,noninfectious,DISEASE,3160,3173
1100,connective tissue disease,DISEASE,3186,3211
1101,hyperthermia,DISEASE,3220,3232
1105,human disease,DISEASE,6584,6597
1106,tuberculosis,DISEASE,6911,6923
1107,bacterial fungal protozoan,DISEASE,6985,7011
1111,communityacquired pneumonia,DISEASE,8181,8208
1113,fungal protozoa,DISEASE,8736,8751
1114,child immunodeficiency disease,DISEASE,8759,8789
1115,nonimmune deficiency disease,DISEASE,8829,8857
1117,zinter zinter,DISEASE,8984,8997
1118,aeruginosa acinetobacter baumannii klebsiella pneumoniae,DISEASE,9146,9202
1121,septic shock,DISEASE,9668,9680
1124,septic shock immunodeficiency c abundance human mastadenovirus b blood child positive microbial culture,DISEASE,10331,10434
1125,pneumocystis jirovecii,DISEASE,10615,10637
1126,macrospora malassezia restricta alternaria,DISEASE,10743,10785
1130,jirovecii,DISEASE,11937,11946
1131,jirovecii blood immunodeficient child blood nonimmunodeficient,DISEASE,12045,12107
1138,leishmania mexicana nannochloropsis gaditana eimeria acervulina nucleic acid sequence entamoeba dispar,DISEASE,12857,12959
1139,babesia ovata babesia bigemina,DISEASE,12960,12990
1151,pneumocystis pneumonia,DISEASE,14420,14442
1153,pneumocystis jirovecii pneumonia,DISEASE,14476,14508
1156,nonimmune deficiency,DISEASE,14755,14775
1159,opportunistic infection,DISEASE,14926,14949
1160,jirovecii infection,DISEASE,15176,15195
1164,communityacquired sepsis,DISEASE,15473,15497
1165,respiratory disease,DISEASE,15579,15598
1166,respiratory virus infection,DISEASE,15841,15868
1167,infection infected,DISEASE,16006,16024
1168,mononucleosis lymphoma lymphoproliferative disease,DISEASE,16097,16147
1173,antigenemia,DISEASE,16881,16892
1175,shock immunodeficiency,DISEASE,17101,17123
1186,subphenotypes immunodeficiency pneumonia death,DISEASE,18885,18931
1197,bloodstream protozoa,DISEASE,21118,21138
1200,disability,DISEASE,864,874
1205,acute respiratory syndrome coronavirus sarscov reverse transcriptionpolymerase chain reaction,DISEASE,3048,3141
1212,coma,DISEASE,4826,4830
1216,acute disease,DISEASE,5660,5673
1217,terminally ill,DISEASE,5831,5845
1227,terminally ill frailty index transferred postacute care setting patient discharged hospital lost completing month followup cumulative incidence day month mortality ranged patient cf score cf score table observed,DISEASE,10129,10340
1233,acute disease morbidity sofa model addition managing clinician unaware patient frailty status making decision medical intervention access study protocol finally outcome disability,DISEASE,15470,15649
1236,hangai,DISEASE,16616,16622
1237,covid pandemic,DISEASE,17370,17384
1247,confusion,DISEASE,3538,3547
1248,covid lung lesion,DISEASE,3926,3943
1250,toxicity,DISEASE,4703,4711
1254,acute respiratory distress syndrome multiorgan failure,DISEASE,125,179
1260,consciousness disturbance,DISEASE,2196,2221
1261,pulmonary tuberculosis,DISEASE,2586,2608
1262,human immunodeficiency virus hiv,DISEASE,2613,2645
1264,nonsurvivors,DISEASE,5103,5115
1273,critically ill covid patient saudi arabian cohort cutoff score optimal criterion t study,DISEASE,9090,9178
1277,covid mortality comorbid disease,DISEASE,5877,5909
1279,cancer,DISEASE,6279,6285
1280,liver disease diabetes complication,DISEASE,6297,6332
1281,fever shortness breath,DISEASE,7376,7398
1283,infection infection,DISEASE,8001,8020
1290,covid cardiovascular disease,DISEASE,9500,9528
1291,peripheral vascular disease,DISEASE,11932,11959
1293,yale,DISEASE,14394,14398
1303,copd impaired peripheral skeletal muscle strength mobility activity,DISEASE,361,428
1304,muscle dysfunction,DISEASE,445,463
1307,stage disease impaired muscle function limb strength lower,DISEASE,576,634
1308,lower extremity patient,DISEASE,707,730
1310,status copd,DISEASE,944,955
1314,low adherence loss,DISEASE,1472,1490
1318,impairment study simple exercise test evaluating physical performance following pulmonary rehabilitation,DISEASE,2694,2798
1320,copd simple exercise test study aim ass nonpresential individualized exercise training program nieto induces benefit mg sts test quadriceps muscle strength qms outpatient advanced,DISEASE,2943,3122
1322,functional impairment,DISEASE,3142,3163
1325,respiratory functional impairment,DISEASE,3697,3730
1329,cardiac condition cognitive deterioration,DISEASE,4086,4127
1337,depression,DISEASE,6651,6661
1339,anxiety depression,DISEASE,6700,6718
1369,fracture,DISEASE,12248,12256
1370,cord injury stroke,DISEASE,12264,12282
1376,integration coordination musculoskeletal system ie biomechanics range motion flexibility neural system ie motor sensory higherlevel premotor process patient study showed balance impairment,DISEASE,12961,13149
1382,anxiety,DISEASE,14142,14149
1385,center disease,DISEASE,15210,15224
1386,covid pandemic pulmonary rehabilitation,DISEASE,15441,15480
1388,copd functional impairment,DISEASE,16376,16402
1389,copd learning,DISEASE,16622,16635
1394,cancerrelated death,DISEASE,506,525
1395,hairy cell leukemia,DISEASE,758,777
1396,renal cell carcinoma,DISEASE,781,801
1397,melanoma,DISEASE,813,821
1399,tumor,DISEASE,1439,1444
1403,b cell lymphoma,DISEASE,2371,2386
1404,acute lymphoblastic leukemia,DISEASE,2466,2494
1405,mantle cell lymphoma,DISEASE,2581,2601
1406,adverse effect affecting major organ system particular concern increased report,DISEASE,2673,2752
1407,cardiovascular toxicity,DISEASE,2753,2776
1408,cardiovascular irae myocarditis,DISEASE,3120,3151
1409,arrhythmia,DISEASE,3173,3183
1411,ventricular arrhythmia pericardial disease vasculitis,DISEASE,3234,3287
1412,cardiomyopathy,DISEASE,3302,3316
1413,pneumonitis,DISEASE,3396,3407
1414,dilated cardiomyopathy,DISEASE,3687,3709
1415,cardiotoxicity,DISEASE,3731,3745
1423,heart failure andor acute coronary syndrome,DISEASE,4932,4975
1424,cardiotoxic cancer,DISEASE,5095,5113
1429,viral myocarditis,DISEASE,5501,5518
1438,chest pain congestive heart failure,DISEASE,6153,6188
1450,rhythm disturbance,DISEASE,7746,7764
1452,atrial arrhythmia ventricular arrhythmia,DISEASE,7869,7909
1462,myocardial edema,DISEASE,8897,8913
1476,toxicity myositis myasthenia gravis,DISEASE,10274,10309
1480,cardiovascular death,DISEASE,10535,10555
1481,cardiogenic shock,DISEASE,10558,10575
1482,cardiac arrest,DISEASE,10578,10592
1483,heart block,DISEASE,10604,10615
1510,stage malignancy cancer,DISEASE,13744,13767
1511,pericardial disease,DISEASE,13810,13829
